Id;Titulo;Consola;America;Europa;Japon;Otro
365;NFL 2K;Sega Dreamcast;0,61;0,98;1,65;0,59
366;Pac-Man World 3;XBox;2,11;2,73;1,2;0,41
367;Outlaw Golf 2;XBox;1,74;3,03;2,05;0,2
368;Terranigma;Super Nintendo;2,26;1,54;2,7;1,04
369;Glover;PlayStation;2,52;1,56;0,33;2,3
370;Naruto Shippuden: Dragon Blade Chronicles;Nintendo Wii;1,63;3,13;2,7;2,24
371;Kelly Slater's Pro Surfer;XBox;1,75;3,12;2,16;0,03
372;Ketsui Death Label;Nintendo DS;0,45;2,37;2,1;2,84
373;Disney Infinity 3.0;XBox One;0,03;1,92;2,37;2,7
374;Dragon Quest III: Soshite Densetsu e...;Super Nintendo;1,01;1,73;3,65;1,23
375;T'ai Fu: Wrath of the Tiger;PlayStation;1,9;1,88;0,94;2,36
376;Monster Rancher Hop-A-Bout;PlayStation;2,08;2,17;0,03;1,45
377;Super Real Mahjong Graffiti;Sega Saturn;1,08;1,56;1,92;0,15
378;Micro Machines V3;PlayStation;2,52;1,71;0,04;2,15
379;1942;Nintendo;2,8;2,77;0,09;0,04
380;Tony Hawk's Pro Skater;GameBoy;1,29;0,38;3;0,04
381;Pro Yakyuu Family Stadium '87;Nintendo;3,54;3,48;0,35;0,07
382;Dakar 2: The World's Ultimate Rally;GameBoy Color;1,48;0,41;2,19;1,6
383;GameBoy Wars;GameBoy;2,72;0,04;2,66;0,04
384;Retro Game Challenge;Nintendo DS;0,28;2,17;1,94;2,58
385;Rondo of Swords (jp sales);Nintendo DS;0,45;1,68;2,01;1,6
386;NHL 2K3;GameBoy Color;2,42;0,11;2,17;2,57
387;Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!;GameBoy Advance;1,98;2,31;2,47;1,46
388;RPG Tsukuru 2;Super Nintendo;1,34;2,8;3,57;1,71
389;Dreamer Series: Babysitter;Nintendo DS;0,41;1,32;2,14;2,26
390;Darius Gaiden;Sega Saturn;1,99;1,24;1,56;0,67
391;Elemental Gearbolt;PlayStation;1,47;1,72;0,1;1,9
392;Jojo's Bizarre Adventure;PlayStation;2,54;2,77;0,83;2,03
393;DmC: Devil May Cry;PlayStation 4;2,45;1,49;1,26;2,46
394;Batman: Rise of Sin Tzu;GameBoy Advance;1,73;1,77;2,63;1,42
395;Star Wars Episode I: Battle for Naboo;Nintendo 64;3,43;3,37;3,47;2,96
396;Koudelka;PlayStation;1,89;1,8;0,28;2,38
397;Devil May Cry 4;PlayStation 4;1,94;1,12;1,74;3,62
398;Duke Nukem: Zero Hour;Nintendo 64;3,1;3,59;3,8;3,15
399;Bratz 4 Real;Nintendo DS;0,04;2,84;0,93;2,67
400;Silent Hill HD Collection;XBox 360;1,79;2,29;2,14;3,32
401;Big Bass World Championship;PlayStation;2,07;2,19;0,22;1,81
402;F1 Race;Nintendo;3,5;3,45;0,17;0,01
403;Battleborn;XBox One;0,13;2,08;1,81;2,05
404;Panzer Tactics;Nintendo DS;0,08;2,12;2,34;2,39
405;Ultimate Shooting Collection;Nintendo Wii;2,14;2,55;1,4;2,38
406;Oddworld: Munch's Oddysee;XBox;0,64;2,29;1,21;0,3
407;ATV: Quad Power Racing;PlayStation;2,41;2,25;0,07;2,83
408;Neon Genesis Evangelion 2nd Impression;Sega Saturn;1,69;1,36;1,39;0,46
409;Star Wars: Rogue Squadron;Nintendo 64;3,16;3,14;3,96;3,43
410;Angry Birds Star Wars;XBox One;0,14;1,64;1,87;2,84
411;Zumba Fitness: World Party;XBox One;0,19;2,1;2;1,96
412;San Francisco Rush 2049;Nintendo 64;3,54;2,75;2,69;3,04
413;Halo 5: Guardians;XBox One;0,12;2,27;1,87;2,76
414;NBA Live 14;PlayStation 4;2,73;1,47;1,6;2,46
415;Serious Sam Advance;GameBoy Advance;1,74;2,43;2,42;0,48
416;True Crime: Streets of LA;GameBoy Color;1,92;0,04;2;3
417;Iron Soldier 3;PlayStation;1,76;3,33;0,77;1,95
418;Star Ocean: Blue Sphere;GameBoy;3,14;0,02;1,78;0,29
419;Pokemon Card GB2: Here Comes Team GR!;GameBoy;2,66;0,14;1,78;0,11
420;San Goku Shi DS 2;Nintendo DS;0,07;2,15;2,35;2,39
421;Black Rose Valkyrie;PlayStation 4;1,97;1,46;2,6;2,36
422;Forsaken;PlayStation;1,86;2,47;1,05;3,05
423;Star Trek: Conquest;Nintendo Wii;1,3;1,99;2,12;2,77
424;Peter Jackson's King Kong: The Official Game of the Movie;XBox;2,27;2,54;2,33;0,21
425;Tetris Worlds;GameBoy Advance;2,25;1,87;2,52;2,51
426;Pokémon Stadium 2;Nintendo 64;3,93;3,36;2,9;2,84
427;Harvest Moon: Animal Parade;Nintendo Wii;2,41;2,6;2,07;2,16
428;Muppets Party Cruise;GameBoy Color;1,47;0,41;2,49;2,15
429;Need for Speed Carbon;XBox;2,53;2,24;2,39;0,02
430;Infamous: First Light;PlayStation 4;1,89;1,97;1,16;2,61
431;4x4 EVO 2;XBox;2,85;2,2;1,96;0,42
432;Bust A Groove;PlayStation;1,94;2,33;0,27;2,3
433;Disney's DuckTales;GameBoy;2,5;0,05;2,55;0,1
434;Kirby's Dream Course;Super Nintendo;2,03;1,57;3,06;1,07
435;Cars: Race-O-Rama;Nintendo Wii;2,51;2,72;2,02;2,39
436;Sleeping Dogs;XBox One;0,18;2,96;1,98;2,32
437;Jikkyou Powerful Pro Yakyuu 3 '97 Haru;Super Nintendo;1,4;1,57;3,4;1,6
438;Jikkyou Powerful Pro Yakyuu 2000;Nintendo 64;2,48;2,86;2,78;2,79
439;Mario Party 2;Nintendo 64;3,71;3,05;3,53;3,29
440;Who Wants to Be a Millionaire: 3rd Edition;Nintendo DS;0,19;2,43;2,3;1,81
441;DJ Hero;XBox 360;2,43;2,05;2,64;1,83
442;1080°: TenEighty Snowboarding;Nintendo 64;3,3;3,53;3,4;3,26
443;Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!;Nintendo 64;4,01;3,15;3;2,44
444;Wolfenstein: The New Order;PlayStation 4;2,79;2,87;1,64;2,11
445;Bubble Bobble Revolution;Nintendo DS;0,03;2,06;1,73;1,79
446;Mega Man II;GameBoy;2,26;0,05;2,48;0,18
447;Need for Speed: Hot Pursuit 2;GameBoy Color;1,89;0,15;3,2;2,51
448;Prince of Persia: The Sands of Time;XBox;1,94;3,42;1,95;0,19
449;Final Fantasy Type-0;XBox One;0,05;2,14;1,94;1,61
450;Payday 2;XBox One;0,01;1,95;1,85;2,54
451;Reactor;Atari 2600;1,66;1,14;1,25;0,89
452;Monster Trucks;GameBoy Advance;1,34;1,84;1,61;3,22
453;Tomb Raider II;PlayStation;1,9;1,72;0,77;2,58
454;NHL 07;XBox 360;2,71;2,4;1,87;2,63
455;Cabela's Big Game Hunter: Pro Hunts;XBox 360;2,09;2,35;1,85;2,11
456;Fireblade;XBox;1,75;2,24;2,15;0,52
457;State of Decay;XBox One;0,64;2,08;2,07;2,69
458;RollerCoaster Tycoon;XBox;2,03;2,23;3,22;0,04
459;Forza Motorsport 3: Ultimate Edition;XBox 360;1,84;1,97;3,14;2,44
460;Picture Perfect Hair Salon;Nintendo DS;0,01;1,6;0,54;1,91
461;Sherlock Holmes and the Mystery of Osborne House;Nintendo DS;0,36;2,16;2,28;3,06
462;Doraemon: Nobita no Shin Makai Daibouken DS;Nintendo DS;0,23;2,59;2,55;1,69
463;Lode Runner 3-D;Nintendo 64;3,05;3,47;3;3
464;N3: Ninety-Nine Nights;XBox 360;2,64;1,81;3,21;2,44
465;The Hobbit;XBox;2,27;2,03;2,34;0,12
466;Adidas Power Soccer 98;PlayStation;3,12;2,08;0,57;2,34
467;Winter Sports 3: The Great Tournament;XBox 360;1,85;1,44;1,45;2,09
468;California Speed;Nintendo 64;3,74;2,98;3,93;3,49
469;Freestyle Metal X;GameBoy Color;2,3;0,15;2,15;1,49
470;Call of Duty: Black Ops 3;XBox One;0,45;2,54;2,44;2,18
471;Sonic Adventure 2;Sega Dreamcast;0,95;0,14;1,9;0,7
472;Tetris DS;Nintendo DS;0,1;2,01;2,6;1,93
473;The Evil Within;XBox One;0,04;1,75;1,98;2,11
474;Super Momotarou Dentetsu DX;Super Nintendo;1,1;1,77;4,16;1,29
475;NHL Championship 2000;PlayStation;1,45;2,24;0,03;2,3
476;Hoshizora no Comic Garden;Nintendo DS;0,08;1,75;2,08;1,36
477;John Madden Football;Super Nintendo;1,46;1,96;3,43;1,34
478;Zenses: Ocean;Nintendo DS;0,2;1,99;1,67;2,25
479;Derby Jockey 2;Super Nintendo;2,02;1,09;2,89;1,67
480;God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5;PlayStation 4;2,39;2,43;1,7;2,18
481;Unreal Tournament III;XBox 360;2,16;1,38;2,01;2,85
482;Mystical Ninja starring Goemon;Nintendo 64;2,57;3,31;3,93;4
483;EarthBound;Super Nintendo;1,75;1,52;4,62;1,49
484;Pokemon Ranger: Guardian Signs;Nintendo DS;0,27;1,99;2,76;2,24
485;World Championship Games: A Track & Field Event;Nintendo DS;0,01;2,47;1,92;2,38
486;Crash Bandicoot Purple: Ripto's Rampage;GameBoy Advance;1,39;2,02;0,86;2,11
487;The LEGO Movie Videogame;XBox One;0,03;2,24;2,03;2,71
488;GRID 2;XBox 360;1,54;1,71;1,47;2,86
489;Fight Night 2004;XBox;2,52;1,64;3,32;0,68
490;Sesame Street: Elmo's Number Journey;Nintendo 64;3,35;2,11;2,54;3,39
491;Driver;PlayStation;2,24;2,53;0,28;1,76
492;Jaws: Ultimate Predator;Nintendo Wii;2,32;1,55;1,87;1,91
493;7 Wonders II;Nintendo DS;0,72;2,45;2,17;1,61
494;Keystone Kapers;Atari 2600;2,15;1,04;0,69;0,59
495;Bravo Air Race;PlayStation;1,71;2,51;0,01;1,97
496;Naruto: Clash of Ninja (JP sales);GameBoy Color;2,02;0,49;2,17;1,9
497;Halo Triple Pack;XBox;2,26;2,32;2,2;0,19
498;99 no Namida;Nintendo DS;0,58;1,93;2;1,18
499;The Great Battle Gaiden 2: Matsuri da Wasshoi;Super Nintendo;2,32;2,02;3,77;0,57
500;Hydro Thunder;PlayStation;2,3;2,09;0,26;2,87
501;Tales of Hearts;Nintendo DS;0,23;2,93;2,35;1,81
502;Monster Lab;Nintendo DS;0,17;1,24;1,47;2,91
503;Triggerheart Exelica;Sega Dreamcast;0,97;1,51;1,66;1,08
504;Kekkon Zenya;Sega Saturn;2,37;1,52;1,26;0,91
505;Nightmare Creatures;Nintendo 64;3,53;3,07;3,63;3,36
506;Iron Storm;Sega Saturn;1,64;2,3;2,46;0,81
507;Littlest Pet Shop: Winter;Nintendo DS;0,35;1,73;2,16;1,82
508;Nitroplus Blasterz: Heroines Infinite Duel;PlayStation 4;2,55;2,28;2,11;2,6
509;Macross Digital Mission VF-X;PlayStation;2,05;1,99;0,16;2,78
510;Harry Potter: Quidditch World Cup;GameBoy Advance;1,49;2,02;2,59;1,32
511;Hot Wheels Turbo Racing;Nintendo 64;3,87;3,05;3,5;3,88
512;Mario Party DS;Nintendo DS;0,07;1,65;2,38;2,19
513;Spider-Man: Mysterio's Menace;GameBoy Advance;1,98;1,1;2,13;1,6
514;World Series of Poker 2008: Battle for the Bracelets;XBox 360;2,14;2,26;1,66;2,84
515;SpongeBob SquarePants: The Yellow Avenger;Nintendo DS;0,81;2,4;1,37;2,03
516;Star Soldier;Nintendo;3,26;2,92;0,06;0,18
517;The Incredibles: Rise of the Underminer;GameBoy Color;2,02;0,06;2,64;1,66
518;Shrek SuperSlam;GameBoy Color;2,17;0,01;2,43;1,77
519;Ratatouille;Nintendo DS;0,11;1,94;1,96;1,86
520;Guitar Hero Live;XBox One;0,03;2,1;1,83;2,2
521;WTA Tour Tennis;GameBoy Advance;2,35;2,76;1,81;3,04
522;NCAA Football 08;XBox 360;1,99;1,96;1,68;2,26
523;Aliens versus Predator: Extinction;XBox;1,98;1,88;1,78;0,23
524;Capcom vs. SNK;Sega Dreamcast;1,21;1,04;1,41;0,77
525;Disney Sports Football;GameBoy Color;1,81;0,08;2,39;2,4
526;101-in-1 Explosive Megamix;Nintendo DS;0,19;1,33;1,61;2,3
527;Dead Island Definitive Collection;PlayStation 4;2,12;1,44;2,3;2,7
528;Far Cry 4;XBox One;0,16;1,97;2,64;1,92
529;Metal Gear Solid V: The Phantom Pain;XBox One;0,18;1,97;2,29;2,63
530;Virtua Cop;Sega Saturn;1,89;2,04;2,51;0,22
531;The Talos Principle;PlayStation 4;2,25;2,73;1,53;1,95
532;Far Cry: Primal;XBox One;0,43;1,94;2,31;2,28
533;The Sims 2;Nintendo DS;0,19;2,45;2,68;1,63
534;F/A-18F Super Hornet;GameBoy Advance;1,81;2,6;1,66;3,05
535;The Kore Gang;Nintendo Wii;2,02;2,93;2,14;2,41
536;Super Street Fighter II;Super Nintendo;2,38;1,45;3,13;1,31
537;Club Penguin: Game Day!;Nintendo Wii;1,79;3,01;1,47;1,77
538;Frogger: Ancient Shadow;GameBoy Color;2,09;0,26;2,15;1,8
539;My Horse & Me;Nintendo DS;0,09;1,93;2,29;1,45
540;Need for Speed Rivals;PlayStation 4;1,79;2,66;1,16;2,01
541;Interactive Storybook DS Series 1;Nintendo DS;0,46;2,3;2,47;1,84
542;SpongeBob SquarePants: Lights, Camera, Pants!;GameBoy Color;2,74;0,77;2,53;1,64
543;NBA 2K15;PlayStation 4;1,96;2,51;1,85;1,77
544;DK: King of Swing;GameBoy Advance;1;2,93;1,53;2,55
545;Warhammer: Shadow of the Horned Rat;PlayStation;2,75;1,44;0,11;1,77
546;Second Sight;GameBoy Color;2,17;0,19;1,58;2,49
547;Prince of Persia: Warrior Within;GameBoy Color;2,57;0,03;2,98;2,75
548;Resident Evil 4 HD;XBox One;0,41;2,02;1,97;2,28
549;Silent Hill 4: The Room;XBox;1,93;2,25;1,76;0,14
550;The Incredible Hulk;GameBoy Advance;1,67;2,42;1,91;2,25
551;Teenage Mutant Ninja Turtles: Mutants in Manhattan;PlayStation 4;2,27;2,81;1,29;2,22
552;Hi Hi Puffy AmiYumi: The Genie & the Amp;Nintendo DS;0,32;3,16;1,43;1,49
553;NFL Street 2;XBox;1,65;2,04;1,55;0,19
554;Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales);GameBoy Advance;1,98;2,04;1,89;1,64
555;Tony Hawk's Pro Skater 3;XBox;1,68;2,27;2,41;0,38
556;Discovery Kids: Puppy Playtime;Nintendo DS;0,38;2,47;1,82;2,06
557;Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu;Super Nintendo;2,43;1,29;3,83;1,15
558;Bastard!! Utsuro Naru Kamigami no Utsuwa;PlayStation;2,67;1,7;0,22;1,01
559;Disney's Party;GameBoy Color;1,48;0,04;2,67;1,61
560;The Simpsons: Hit & Run;GameBoy Color;2,97;0,09;1,84;1,65
561;Monster 4x4: Masters of Metal;GameBoy Color;3,23;0,3;2,36;1,88
562;Peppa Pig: The Game;Nintendo DS;0,39;2,21;2,35;1,35
563;Yoostar2;XBox 360;2,29;2,54;2,03;1,71
564;The Legend of Zelda: The Minish Cap;GameBoy Advance;2,02;2,02;1,45;1,83
565;WinBack: Covert Operations;Nintendo 64;3,42;3,4;3,48;3,75
566;Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!;Nintendo 64;3,33;3,37;2,58;3,19
567;Riviera: The Promised Land;GameBoy Advance;1,74;2,1;1,62;2,57
568;MotionSports: Adrenaline;XBox 360;2,15;2,11;2,69;1,83
569;DmC: Devil May Cry;XBox One;0,72;2,24;2,49;2,05
570;Evolve;XBox One;0,09;2,97;2,17;2,37
571;In Cold Blood;PlayStation;1,54;2,24;0,47;1,17
572;Detana TwinBee Yahho! Deluxe Pack;Sega Saturn;1,76;2,01;2,12;0,24
573;Star Wars: Masters of Teras Kasi;PlayStation;2,97;2,5;0,35;2,01
574;Trap Gunner: Countdown to Oblivion;PlayStation;2,05;2,11;0,09;2,26
575;Centipede;Atari 2600;1,72;0,52;0,43;0,65
576;LEGO Soccer Mania;GameBoy Advance;1,23;1,61;1,57;1,64
577;Bratz: Rock Angelz;GameBoy Color;2,02;0,26;2,12;1,77
578;Midway's Greatest Arcade Hits Volume 1;Nintendo 64;3,44;3,69;3,56;2,98
579;Blood Omen 2;XBox;1,5;2,18;1,49;0,2
580;Puyo Puyo 7;Nintendo Wii;1,5;2,23;2,13;2,22
581;Vigilante 8;PlayStation;1,69;1,71;0,16;2,33
582;SpongeBob SquarePants: Battle for Bikini Bottom;GameBoy Color;1,47;0,04;1,52;2,01
583;Franklin the Turtle;GameBoy Advance;2,34;1,48;2,54;2,94
584;Fear Factor: Unleashed;GameBoy Advance;2,17;1,81;2,18;2,42
585;Cooking Mama 3: Shop & Chop;Nintendo DS;0,22;2,17;2,42;2,02
586;King Arthur;GameBoy Color;1,42;0,2;2,04;2,05
587;My Friends;Nintendo DS;0,09;2,09;1,89;1,68
588;The House of the Dead 2;Sega Dreamcast;0,85;1,11;1,45;0,43
589;Jewel Time Deluxe;Nintendo DS;0,09;2,4;1,34;2,27
590;Pokemon Ruby/Pokemon Sapphire;GameBoy Advance;1,45;2,7;2,13;1,97
591;Tales of Berseria;PlayStation 4;2,04;2,51;1,76;1,51
592;Ratatouille;GameBoy Color;1,55;1,1;2,66;2,46
593;Dying Light;XBox One;0,4;2,7;1,96;1,64
594;Rock Band 4;XBox One;0,24;2,41;2,02;2,01
595;Dead or Alive;PlayStation;2,09;1,74;1,42;1,61
596;Teen Titans;GameBoy Color;2,05;0,15;2,1;1,54
597;Dead or Alive Xtreme Beach Volleyball;XBox;1,6;1,69;2,74;0,04
598;Conflict: Desert Storm II - Back to Bagdhad;XBox;1,53;2,44;2,88;0,4
599;FIFA 06 Soccer;GameBoy Color;1,85;0,24;1,55;2,9
600;Cyber Troopers Virtual-On;Sega Saturn;2,18;2,38;2,81;0,13
601;NASCAR 2000;Nintendo 64;3,46;3,55;3,35;3,55
602;Gex;PlayStation;1,61;2,71;0,09;2,19
603;Clockwork Knight;Sega Saturn;2,08;2,44;1,68;0,24
604;Jikkyou Powerful Pro Yakyuu 11;GameBoy Color;2,5;0,04;2,02;1,92
605;Bomberman Generation;GameBoy Color;2,42;0,19;2,33;1,62
606;Transformers: Prime;Nintendo Wii;2,02;2,86;1,75;2,43
607;2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2;GameBoy Advance;1,43;1,81;2,11;1,4
608;V-Rally Edition 99;Nintendo 64;3,3;3,48;3,51;4,38
609;Fighting Force;PlayStation;1,89;2,2;0,04;2,94
610;Kirby Super Star;Super Nintendo;2,29;1,42;2,93;1,72
611;NFL GameDay 99;PlayStation;1,44;3,05;0,43;1,95
612;Hybrid Heaven;Nintendo 64;3,22;2,81;3,79;3,35
613;Paws & Claws: Dogs & Cats Best Friends;Nintendo DS;0,13;2,58;1,68;1,31
614;Tales of Symphonia: Dawn of the New World;Nintendo Wii;2,67;2,6;2,25;2,77
615;Disney's Tarzan Untamed;GameBoy Color;2,66;0,1;1,45;1,91
616;Retro Game Challenge (US sales);Nintendo DS;0,97;2,02;2,36;2,09
617;Game of Thrones (Telltale);PlayStation 4;1,78;1,82;0,98;2,53
618;The Price is Right 2010 Edition;Nintendo DS;0,99;2,03;2,11;1,55
619;Big Ichigeki! Pachi-Slot Taikouryku Universal Museum;Sega Saturn;1,64;2,22;1,64;0,39
620;Sega Touring Car Championship;Sega Saturn;1,34;1,47;2,16;0,17
621;Marvel Avengers: Battle for Earth;XBox 360;2,17;3,01;1,55;3,02
622;Sea Park Tycoon;Nintendo DS;0,69;1;2,06;2,97
623;Nicktoons: Unite!;GameBoy Color;1,89;0,18;2,93;2,56
624;R: Racing Evolution;GameBoy Color;2,71;0,55;2,45;2,13
625;Pitfall!;Atari 2600;1,96;1,36;0,19;0,9
626;NBA 2K6;XBox;2,18;1,34;2,53;0,57
627;NHL 15;PlayStation 4;2,16;1,21;1,4;1,99
628;Army Men: Air Combat - The Elite Missions;GameBoy Color;2,28;0,02;2,14;1,86
629;NASCAR Heat Evolution;PlayStation 4;2,8;1,41;2,13;1,66
630;Final Fantasy XIV: Heavensward;PlayStation 4;2,96;1,64;2,18;2,87
631;The Incredibles;GameBoy Color;2,48;0,29;1,57;1,66
632;Risk / Battleship / Clue;GameBoy Advance;2,64;1,66;2,31;1,82
633;LittleBigPlanet 3;PlayStation 4;2,01;2,25;1,89;1,77
634;Darksiders II;XBox One;0,17;2,52;2,38;2,25
635;Dead Rising 3;XBox One;0,15;2,15;2,69;2,74
636;Call of Duty: Modern Warfare: Reflex Edition;Nintendo Wii;1,23;3,12;1,43;3,11
637;Pinball Hall of Fame: The Gottlieb Collection;Nintendo Wii;1,9;2,85;2,27;1,72
638;Lost Kingdoms II;GameBoy Color;1,41;0,1;2,22;3,14
639;Naruto: Clash of Ninja 2;GameBoy Color;1,37;0,01;2,55;2,03
640;Sword Art Online: Hollow Fragment;PlayStation 4;1,8;1,6;0,84;2,68
641;Dark Half;Super Nintendo;2,04;1,48;4,1;0,38
642;Gex 3: Deep Cover Gecko;Nintendo 64;3,48;3,25;3,08;3,84
643;Ty the Tasmanian Tiger 2: Bush Rescue;XBox;2,28;2,18;2,79;0,58
644;Dragon Quest I & II;Super Nintendo;1,34;2,28;3,69;1,66
645;Godzilla (2015);PlayStation 4;2,03;1,75;2,14;1,69
646;Ryse: Son of Rome;XBox One;0,15;2,22;2,38;2,34
647;Mischief Makers;Nintendo 64;3,69;3;3,73;3,29
648;Tour de France 2014;PlayStation 4;1,39;1,52;1,43;1,61
649;Mace: The Dark Age;Nintendo 64;3,22;3,49;3,63;2,97
650;Just Dance 2014;XBox One;0,08;2,33;2,03;2,78
651;Batman: Rise of Sin Tzu;GameBoy Color;2,01;0,3;2,19;2,68
652;Driver 2 Advance;GameBoy Advance;1,58;1,99;1,44;1,04
653;Tokimeki no Houkago;PlayStation;1,75;1,08;0,27;2,42
654;Mega Man Battle Network 4: Red Sun / Blue Moon;GameBoy Advance;2,69;2,33;2,36;1,36
655;SSX 3;GameBoy Color;2,49;0,23;2,33;2,83
656;SpongeBob's Surf & Skate Roadtrip;XBox 360;1,77;2,38;2,5;1,27
657;Jikkyou Powerful Pro Yakyuu '95;PlayStation;1,76;2,57;0,75;3,5
658;Nobunaga no Yabou: Souzou;PlayStation 4;2,35;1,71;1,61;2,11
659;Micro Machines 64 Turbo;Nintendo 64;3,09;3,38;3,21;2,71
660;Lara Croft and the Temple of Osiris;PlayStation 4;2,11;2,25;1,87;1,89
661;Wing Commander: Prophecy;GameBoy Advance;1,97;1,94;2,12;2,22
662;Gameboy Gallery;GameBoy;1,68;0,32;1,85;0,08
663;Dakar 2: The World's Ultimate Rally;XBox;2,14;1,34;2,43;0,12
664;Harry Potter and the Chamber of Secrets;PlayStation;3,41;2,5;0,1;2,07
665;The Lord of the Rings: The Two Towers;GameBoy Color;1,87;0,04;1,42;1,23
666;Donkey Kong GB: Dinky Kong & Dixie Kong;GameBoy;2,26;0,71;2,54;0,02
667;Wonder Project J: Kikai no Shonen Pino;Super Nintendo;2,36;1,95;2,92;0,89
668;Battlefield: Hardline;PlayStation 4;1,74;2,18;2,38;2,16
669;Beyond Good & Evil;GameBoy Color;2,65;0,56;2,05;2,13
670;Wrath Unleashed;XBox;2,39;2,85;2,16;0,12
671;LEGO Knights' Kingdom;GameBoy Advance;2,13;2,02;2,02;2,83
672;The Fairly Odd Parents: Shadow Showdown;GameBoy Color;2,47;0,27;1,82;1,17
673;Backyard Basketball;GameBoy Advance;2,42;1,41;3,29;2,96
674;Final Fight;Super Nintendo;2,28;1,27;3,45;0,7
675;Barnstorming;Atari 2600;1,87;0,98;1;0,69
676;ESPN College Hoops 2K5;XBox;2,06;2,25;2,18;0,27
677;NHL 06;GameBoy Color;1,33;0,02;2,01;2,73
678;Madden NFL 15;XBox One;0,15;1,33;1,38;2,5
679;Frostbite;Atari 2600;2,19;0,75;0,7;0,98
680;Shippuu Mahou Daisakusen: Kingdom-Grandprix;Sega Saturn;1,28;2,38;1,88;0,1
681;Atari's Greatest Hits: Volume 1;Nintendo DS;0,08;2,39;1,78;2,79
682;Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki;Nintendo;3,87;3,54;0,09;0,03
683;Madagascar: Operation Penguin;GameBoy Advance;1,39;1,55;2,81;1,56
684;The Heavy Rain and Beyond: Two Souls Collection;PlayStation 4;2,17;2,01;3,13;1,58
685;Destiny: The Taken King;PlayStation 4;2,06;2,88;1,3;2,33
686;Tiger Woods PGA Tour 06;GameBoy Color;2,23;0,11;1,25;2,26
687;Namco Museum 64;Nintendo 64;3,44;3,02;3,48;3,65
688;Sega Bass Fishing;Sega Dreamcast;0,33;0,87;2,11;0,93
689;Backyard Baseball '09;Nintendo Wii;1,47;2,08;1,54;2,8
690;World Soccer Winning Eleven 9;XBox;2,95;1,9;1,14;0,26
691;Ben 10: Alien Force;Nintendo DS;0,64;2,82;1,51;1,65
692;DiRT Rally;PlayStation 4;1,52;1,66;2,62;2,34
693;Space Raiders;GameBoy Color;2,58;0,19;2,04;2
694;Jackass the Game DS;Nintendo DS;0,28;2,33;2,4;1,52
695;Wallace & Gromit in Project Zoo;XBox;2,6;1,75;2,42;0,05
696;The Incredibles;GameBoy Advance;2,15;2,63;1,75;2,21
697;Front Mission: Gun Hazard;Super Nintendo;1,72;1,21;3,48;1
698;Mario Kart: Super Circuit;GameBoy Advance;2,14;2,76;2,18;2,08
699;Front Line;Atari 2600;1,51;0,6;0,99;0,54
700;Shin Megami Tensei: Devil Summoner;Sega Saturn;2,38;2,26;0,81;0,11
701;Disney TH!NK Fast: The Ultimate Trivia Showdown;Nintendo Wii;2,54;2,88;2,92;2,51
702;Just Dance 2016;PlayStation 4;2,92;2,32;2,55;2,76
703;Blast Chamber;PlayStation;1,47;2,68;0,28;1,61
704;Boxing;Atari 2600;1,51;0,7;0,84;0,29
705;Catwoman;GameBoy Advance;1,93;1,51;2,29;2,43
706;NASCAR Heat;PlayStation;2,74;2,31;0,02;1,92
707;NASCAR Unleashed;Nintendo Wii;2,79;2,38;2,67;1,31
708;EA Sports UFC 2;PlayStation 4;1,68;2,59;1,68;2,16
709;Gauntlet;Atari 2600;1,53;1,1;0,35;0,58
710;Crazy Taxi 3: High Roller;XBox;1,97;1,67;1,67;0,36
711;Resident Evil 4 HD;PlayStation 4;1,52;2,13;1,16;2,31
712;Just Dance 2014;Nintendo Wii;2,15;2,77;2,56;2,16
713;Sonic Advance & Sonic Pinball Party Combo Pack;GameBoy Advance;1,08;1,72;2,54;2
714;Dragon Ball Z: Shin Butouden;Sega Saturn;1,89;1,95;2,53;0,01
715;Oddworld: Stranger's Wrath;XBox;2,66;1,84;1,24;0,02
716;Ultimate Fighting Championship: Throwdown;GameBoy Color;1,74;0,3;1,96;1,76
717;Onechanbara Z2: Chaos;PlayStation 4;2,76;1,57;2,07;2,24
718;Phantasy Star Online Episode I & II;GameBoy Color;3,18;0,46;2,63;2,03
719;Freddi Fish: Kelp Seed Mystery;Nintendo Wii;1,46;2,36;1,31;1,56
720;Star Wars: Knights of the Old Republic;XBox;2,55;0,74;2,15;0,48
721;Epic Mickey 2: The Power of Two;Nintendo Wii;2,4;2,1;2,63;2,18
722;Mega Man 5;Nintendo;3,26;3,64;0,03;0,18
723;F1 2014;XBox 360;2,45;2,5;2,39;2,05
724;Road Rash;PlayStation;2,22;0,94;0,23;3,26
725;Brain Challenge;Nintendo DS;0,09;1,86;2,43;1,63
726;Detana TwinBee Yahho! Deluxe Pack;PlayStation;1,96;1,46;0,48;2,34
727;Bionicle;GameBoy Color;1,33;0,13;1,78;2,54
